"mpirun -np 2 --mca pml ob1 --map-by core --mca btl tcp,self ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"5.63207577118593","6999.6261549702","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","5.43","0","5.63207577118593","303.597078747727"
"1","1000","5.55","0.18","5.63241970314084","303.61808058307"
"2","1000","5.56","0.36","5.63276363392393","303.63908237118"
"4","1000","5.54","0.72","5.63345149197469","303.681085805699"
"8","1000","5.55","1.44","5.63482719401459","303.765092107936"
"16","1000","5.56","2.88","5.63757854184871","303.93310244522"
"32","1000","5.55","5.76","5.64308101254069","304.269114051132"
"64","1000","5.57","11.49","5.65408505407054","304.941100989182"
"128","1000","5.65","22.64","5.67608953812188","306.284929776978"
"256","1000","5.68","45.03","5.7200841134558","308.972007053683"
"512","1000","5.72","89.44","5.80801571916045","314.343840846106"
"1024","1000","6.26","163.6","5.9836489595334","325.078228863115"
"2048","1000","6.15","332.85","6.33399722541192","346.509914427775"
"4096","1000","7.09","577.97","7.03103423187125","389.225145985312"
"8192","1000","7.56","1083.59","8.41057649645886","474.064827494258"
"16384","1000","9.89","1656.7","11.1123797370995","641.395249308837"
"32768","1000","15.77","2077.28","16.2935451378279","966.773358264289"
"65536","640","30.39","2156.79","25.8182895597273","1581.29565251668"
"131072","320","43.25","3030.33","41.9144745606877","2672.46504939733"
"262144","160","61.46","4264.94","65.1544917989838","4357.93722425076"
"524288","80","95.35","5498.71","94.0049332168463","6148.89025518635"
"1048576","40","162.03","6471.39","162.207057457653","6197.06391526904"
"2097152","20","306.7","6837.72","306.690952447231","6871.25050928836"
"4194304","10","599.12","7000.81","599.120147397232","6999.6261549702"
