"mpirun -np 2 --map-by socket --report-bindings ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"1.43587377527411","14206.2866406087","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","0.41","0","1.43587377527411","77.2616660705943"
"1","1000","0.4","2.47","1.43621504625605","77.342338005821"
"2","1000","0.4","5.02","1.43655631492406","77.4230097602712"
"4","1000","0.4","10.08","1.43723884531829","77.5843527268429"
"8","1000","0.4","20.01","1.43860387833989","77.9070364906773"
"16","1000","0.4","40.07","1.44133383331738","78.5523953411583"
"32","1000","0.56","57.44","1.4467932990239","79.8430783337519"
"64","1000","0.56","114.9","1.45771045355851","82.424305488526"
"128","1000","0.89","143.48","1.47953765603619","87.586204500911"
"256","1000","0.94","273.57","1.52316364200315","97.907781532928"
"512","1000","1.11","463.1","1.61030199699324","118.542053193061"
"1024","1000","1.28","799.74","1.78412471108893","159.775079433129"
"2048","1000","2.09","980.53","2.12995792786975","242.099163851914"
"4096","1000","2.98","1376.65","2.81440564484942","406.180262139153"
"8192","1000","4.8","1707.54","4.15466647838758","732.080583984815"
"16384","1000","7.21","2273.32","6.72255963074676","1374.88489113209"
"32768","1000","12.89","2542.71","11.4229159248442","2624.91589967927"
"65536","640","24.28","2699.57","19.1994856035645","4985.90448055836"
"131072","320","45.56","2876.77","29.1479625608361","9177.08480515259"
"262144","160","13.2","19855.51","33.0083346333454","15633.849583308"
"524288","80","22.99","22808.01","16.4238056959599","22323.5869332015"
"1048576","40","51.22","20473.81","52.0602214846342","21002.3743367834"
"2097152","20","139.45","15038.59","139.407542713936","14965.0731187227"
"4194304","10","295.3","14203.58","295.300688248914","14206.2866406087"
