"mpirun -np 2 --mca pml ob1 --map-by socket --mca btl tcp,self ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"8.3180047195682","3476.41525604221","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","7.97","0","8.3180047195682","199.141237978391"
"1","1000","8.27","0.12","8.31865611249977","199.151729890505"
"2","1000","8.28","0.24","8.31930750352231","199.162221778621"
"4","1000","8.31","0.48","8.32061027984031","199.183205482855"
"8","1000","8.3","0.96","8.32321580956819","199.225172603339"
"16","1000","8.26","1.94","8.32842677739266","199.309105692371"
"32","1000","8.28","3.87","8.33884834652616","199.476967262752"
"64","1000","8.27","7.74","8.35969001880922","199.812671973213"
"128","1000","8.73","14.65","8.40136750006206","200.484007676414"
"256","1000","8.75","29.26","8.48469901429407","201.826384239796"
"512","1000","8.75","58.51","8.65126828949164","204.509958217373"
"1024","1000","9.71","105.51","8.98403214533171","209.872391358713"
"2048","1000","9.26","221.15","9.64806362503469","220.578412646046"
"4096","1000","10.96","373.87","10.9701619970124","241.915189261765"
"8192","1000","11.84","691.71","13.5906626441176","284.288589927678"
"16384","1000","15.67","1045.87","18.738170052757","367.842056611065"
"32768","1000","25.92","1264.27","28.6694134728912","530.233623518056"
"65536","640","56.89","1151.93","47.1565449389529","836.615344160832"
"131072","320","80.74","1623.48","79.2372598283783","1379.3939636417"
"262144","160","122.33","2142.93","128.223317283571","2213.02511501476"
"524288","80","195.91","2676.19","193.748197505038","3081.43350586832"
"1048576","40","325.47","3221.69","325.754362190916","3049.55561045233"
"2097152","20","617.1","3398.39","617.08548359789","3419.46827870101"
"4194304","10","1206.24","3477.16","1206.24023634655","3476.41525604221"
