"mpirun -np 2 --map-by socket ./IMB-MPI1 PingPong                            #----------------------------------------------------------------","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"0.776164734150703","6336.01627249783","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","0.43","0","0.776164734150703","1379.25248448624"
"1","1000","0.43","2.32","0.776264716075156","1379.29135870758"
"2","1000","0.43","4.63","0.776364698367354","1379.33023281228"
"4","1000","0.43","9.26","0.776564664054982","1379.40798067168"
"8","1000","0.43","18.57","0.776964599843128","1379.56347499061"
"16","1000","0.43","37.2","0.777764489070731","1379.87445802893"
"32","1000","0.46","69.21","0.77936433812915","1380.49640170774"
"64","1000","0.46","138.13","0.782564318642626","1381.74019947642"
"128","1000","0.55","231.99","0.788965409126391","1384.22743667677"
"256","1000","0.6","423.48","0.801772106883387","1389.20047787958"
"512","1000","0.83","616.1","0.827403561254428","1399.140828695"
"1024","1000","0.88","1168.52","0.878738639043222","1418.99861357439"
"2048","1000","1.06","1936.27","0.981696940154197","1458.62259318204"
"4096","1000","1.52","2701.75","1.18876188565476","1537.50480631002"
"8192","1000","1.96","4171.17","1.60745134079419","1693.81115922935"
"16384","1000","3.24","5051.3","2.46279966240923","2000.63077781624"
"32768","1000","5.13","6389.43","4.24324911167926","2591.41000264587"
"65536","640","9.24","7092.04","8.0665719813598","3684.0061027063"
"131072","320","17.86","7340.3","16.6366934445713","5532.83460624616"
"262144","160","34.11","7686.29","36.5613471791958","8035.54809899059"
"524288","80","82.67","6342.03","81.7686166285815","9379.30172263885"
"1048576","40","167.74","6251.32","167.859985154935","4989.08940002744"
"2097152","20","333.79","6282.84","333.783829534137","6436.27051000274"
"4194304","10","661.41","6341.42","661.410100861884","6336.01627249783"
