"mpirun -np 2 --mca pml ucx ./IMB-MPI1 PingPong                              --------------------------------------------------------------------------","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"0.519065931413078","13671.4703911925","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","0.21","0","0.519065931413078","1324.86738901862"
"1","1000","0.19","5.21","0.519178750391135","1324.95871474898"
"2","1000","0.19","10.42","0.519291568837843","1325.05004024991"
"4","1000","0.19","20.79","0.519517204137219","1325.2326905635"
"8","1000","0.19","41.38","0.519968468359867","1325.59798843758"
"16","1000","0.19","82.38","0.52087097130116","1326.32857317335"
"32","1000","0.22","143.08","0.522675875171071","1327.78969859594"
"64","1000","0.23","280.49","0.526285274886867","1330.71177324948"
"128","1000","0.31","419.2","0.533502442435743","1336.55521782331"
"256","1000","0.34","756.37","0.547930251709579","1348.2392883051"
"512","1000","0.38","1346.37","0.576759780614517","1371.59615674147"
"1024","1000","0.49","2085.54","0.63431458903445","1418.26482059351"
"2048","1000","0.75","2743.8","0.749008081083217","1511.42199288619"
"4096","1000","1.12","3671.64","0.976737537303361","1697.01680865661"
"8192","1000","1.86","4410.7","1.42562193490483","2065.33705893319"
"16384","1000","2.94","5572.13","2.29753467166702","2790.56976799599"
"32768","1000","4.71","6954.96","3.94142773720969","4195.95967433862"
"65536","640","8.03","8163.72","6.85671762407664","6830.84724363558"
"131072","320","14.51","9030.23","11.4041419784493","11431.7649636893"
"262144","160","12.65","20724.19","16.8502272438239","18226.7931707585"
"524288","80","23.91","21924.36","22.4720776320376","24193.4801980284"
"1048576","40","52.27","20061.99","52.4564710111497","19342.3333282316"
"2097152","20","140.35","14941.89","140.340519298753","15022.8930501532"
"4194304","10","306.73","13674.24","306.730154141249","13671.4703911925"
